latitude,longitude,name,desc,color,source,precision
42.502656,-71.419791,"344 Great Road, Acton, MA 01720","344 Great Rd, Acton, Middlesex, MA, US",,MapQuest,address
42.062038,-72.631739,"163 Silver Street, Agawam, MA 01001","163 Silver St, Agawam, Hampden, MA, US",,MapQuest,address
42.853758,-70.943917,"5 Highland St, Amesbury, MA 01913","5 Highland St, Amesbury, Essex, MA, US",,MapQuest,address
42.84644,-70.911505,"100 Macy Street, Amesbury, MA 01913","100 Macy St, Amesbury, Essex, MA, US",,MapQuest,address
42.376887,-72.518753,"70 Boltwood Walk, Amherst, MA 01002","70 Boltwood Walk, Amherst, Hampshire, MA, US",,MapQuest,address
42.368585,-72.533467,"165 University Drive, Amherst, MA 01002","165 University Dr, Amherst, Hampshire, MA, US",,MapQuest,address
42.39182,-72.528442,"1 Campus Center Way, Amherst, MA 01003","1 Campus Center Way, Amherst, Hampshire, MA, US",,MapQuest,address
42.41679,-71.160556,"833 Massachusetts Avenue, Arlington, MA 02476","833 Massachusetts Ave, Arlington, Middlesex, MA, US",,MapQuest,address
42.25683,-71.426276,"47 Pond St, Ashland, MA 01721","47 Pond St, Ashland, Middlesex, MA, US",,MapQuest,address
41.949109,-71.289473,"191 N. Main St., Attleboro, MA 02703","191 N Main St, Attleboro, Bristol, MA, US",,MapQuest,address
42.025229,-71.490133,"370 Pulaski Blvd, Bellingham, MA 02019","370 Pulaski Blvd, Bellingham, Norfolk, MA, US",,MapQuest,address
42.383289,-71.180992,"264 Trapelo Rd, Belmont, MA 02478","264 Trapelo Rd, Belmont, Middlesex, MA, US",,MapQuest,address
42.658233,-72.561258,"220 South St, Bernardston, MA 01337","220 South St, Bernardston, Franklin, MA, US",,MapQuest,address
42.554996,-70.881408,"434 Rantoul St., Beverly, MA 01915","434 Rantoul St, Beverly, Essex, MA, US",,MapQuest,address
42.572764,-70.884053,"30 Tozer Rd, Beverly, MA 01915","30 Tozer Rd, Beverly, Essex, MA, US",,MapQuest,address
42.335559,-71.072161,"85 E Concord St, Boston, MA 02118","85 E Concord St, Boston, Suffolk, MA, US",,MapQuest,address
42.33396,-71.076482,"874 Harrison Ave, Boston, MA 02118","874 Harrison Ave, Boston, Suffolk, MA, US",,MapQuest,address
42.354439,-71.059103,"55 Summer St, Boston, MA 02110","55 Summer St, Boston, Suffolk, MA, US",,MapQuest,address
42.372854,-71.040411,"120 Liverpool Street, Boston, MA 02128","120 Liverpool St, Boston, Suffolk, MA, US",,MapQuest,address
42.346708,-71.098891,"4 Jersey St, Boston, MA 02215","4 Jersey St, Boston, Suffolk, MA, US",,MapQuest,address
42.348176,-71.084427,"900 Boylston St, Boston, MA 02115","900 Boylston St, Boston, Suffolk, MA, US",,MapQuest,address
42.332161,-71.093534,"1350 Tremont St, Roxbury, MA 02120","1350 Tremont St, Roxbury Crossing, Suffolk, MA, US",,MapQuest,address
42.336927,-71.047928,"409 W Broadway, South Boston, MA 02127","409 W Broadway, S Boston, Suffolk, MA, US",,MapQuest,address
42.349702,-71.065303,"279 Tremont Street, Boston, MA 02116","279 Tremont St, Boston, Suffolk, MA, US",,MapQuest,address
42.281807,-71.087409,"825 Morton St, Boston, MA 02126","825 Morton St, Mattapan, Suffolk, MA, US",,MapQuest,address
42.76155,-71.117554,"145 Ward Hill Avenue, Bradford, MA 10845","145 Ward Hill Ave, Haverhill, Essex, MA, US",,MapQuest,address
42.227976,-71.003742,"178 Washington St., Braintree, MA 02184","178 Washington St, Braintree, Norfolk, MA, US",,MapQuest,address
42.083865,-71.005654,"355 Centre St., Brockton, MA 02302","355 Centre St, Brockton, Plymouth, MA, US",,MapQuest,address
